deposit_name,likely_interval,deposit_score_WH02,average_longitude,average_latitude,plon_PAL,plat_PAL,plon_M21,plat_M21
Antaq Polymictic Conglomerate,MEIH,2.0,44.22556,23.71837,135.04634561266758,-5.112637231796177,54.56255522488886,-12.790908517386947
Bunyeroo Formation,MEIH,1.0,138.56,-31.43,-166.73565663635625,16.683899276414937,124.34372767851178,14.927236799760438
Croles Hill diamictite,MEIH,3.0,144.862487484181,-40.7438283474972,-161.7843895788906,7.24304250900713,143.81700586272567,-1.1386454167998523
Dey Dey Mudstone,MEIH,1.0,131.94,-28.4,-172.95096559023398,19.3597389268961,118.37104013814836,12.036385571381995
Fauquier Formation,MEIH,2.0,-77.64,39.04,-164.23334733218408,-66.1964262774795,-176.1721515844924,-31.017311962472757
Gaskiers Formation,MEIH,4.0,-53.590889,46.923334,97.38553957276983,-72.71696951819808,0.04161561909388295,-44.23682283725645
Glussk Formation,MEIH,4.0,24.3565576445206,52.2124427854146,-1.561756435753341,-74.90764727438014,-152.28871055044038,-61.27794933202013
Iporanga Formation,MEIH,2.0,-48.6667,-24.5833,166.58795782340567,-45.305345900881136,165.80944372736622,-26.20179087369155
Izdar Member,MEIH,4.0,-7.43,30.52,100.91966872446183,-37.04789921863703,12.804544353785888,-41.26044418290755
Koyva Formation,MEIH,3.0,58.87,58.51,48.310062894473376,-63.23447650584356,-113.26367784422493,-56.596704772762386
Las Ventanas Formation,MEIH,4.0,-55.26,-34.71,-178.17384473608703,-42.90455256769699,170.20464429062858,-26.985786686061296
Mall Bay Formation,MEIH,4.0,-53.74,47.04,96.91583607653037,-72.78450178884215,-0.1718879560944256,-44.260699853326656
Playa Hermosa Formation,MEIH,3.0,-55.3029067296585,-34.8332998331757,-178.02828150290387,-42.83339512215808,170.34261192019287,-26.94939233095939
Serra Azul Unit A,MEIH,4.0,-56.513986013986,-13.8013698630136,158.2319683880327,-57.31616251184219,172.1061633594758,-38.1505633241912
Squantum diamictite,MEIH,2.0,-71.0796267862373,42.3017020801003,94.47275022016349,-85.9552362487216,-7.370050302048926,-56.63167394904536
Starye Pechi Formation,MEIH,3.0,58.87,58.51,48.310062894473376,-63.23447650584356,-113.26367784422493,-56.596704772762386
Tany Formation,MEIH,3.0,58.87,58.51,48.310062894473376,-63.23447650584356,-113.26367784422493,-56.596704772762386
Tiddiline Group,MEIH,4.0,-6.51,30.56,101.62371895507073,-36.48988390953252,13.70854799631474,-40.85449558969043
Trinity diamictite,MEIH,4.0,-53.37978,48.376619,92.91660598127342,-72.15579619076848,-1.549091043655238,-43.334813551346585
Xichangjing Formation,MEIH,4.0,96.1,41.9,134.69494487259607,14.464320111012983,63.35538586659327,32.362565250009794
Zukow Formation,MEIH,2.0,23.33879248218,51.6078478633622,-4.770052880982132,-75.18035320562525,-154.09278274955994,-61.38086001728078
Mercantile diamictite,MEIH,4.0,-53.578495423021,48.3575977524248,92.8335455867465,-72.28674368981041,-1.626467895035613,-43.455765105166776
Egan Formation,Ediacaran,3.0,126.7,-18.7,-179.71054391441558,28.245364959441957,105.48266119142728,15.024578927267028
Esfordi Formation,Ediacaran,3.0,56.0,32.0,145.72701490436697,5.986138302590388,45.53939333494825,12.751501309359497
Ishim River diamictite,Ediacaran,3.0,69.0,44.0,50.95307308871996,-14.40893842962122,44.158206283852216,39.7307726559997
Rang Formation,Ediacaran,3.0,69.0,44.0,50.95307308871996,-14.40893842962122,44.158206283852216,39.7307726559997
Talisayi Formation,Ediacaran,4.0,80.97,44.34,44.43940762520657,-8.663557877164735,80.97,44.34
Fengtai Formation,Ediacaran,2.0,116.78805555555556,32.64722222222222,140.7664099074506,18.601149430744357,93.94829437058715,32.43564101790354
